"Activite","address","Labels"
"Chania Venetian Lighthouse, La Canée","chania 731 32, greece","Phares"
"Chania Venetian Lighthouse, La Canée","chania 731 32, greece",", "
"Chania Venetian Lighthouse, La Canée","chania 731 32, greece","Sites et monuments"
"Castello del Molo (Koules), Héraklion","heraklion 712 02, greece","Sites historiques"
"Castello del Molo (Koules), Héraklion","heraklion 712 02, greece",", "
"Castello del Molo (Koules), Héraklion","heraklion 712 02, greece","Châteaux"
"The Natural History Museum of Crete, Héraklion","leof. sofokli venizelou, iraklio 712 02, greece","Musées d'histoire naturelle"
"Agios Titos Church, Héraklion","pl. agiou titou, iraklio 712 02, greece","Églises et cathédrales"
"Cathedral of St. Minas, Héraklion","heraklion 712 01, greece","Sites sacrés et religieux"
"War Shelter of Platanias, Platanias","platanias 730 14, greece","Sites et monuments"
"Cathedral of Assumption, La Canée","chania, greece","Églises et cathédrales"
"Saint George Apanosifis, Héraklion","michail kourmouli 2, iraklio 714 10, greece","Sites et monuments"
"Municipal Art Gallery of Chania, La Canée","chalidon 98, chania 731 32, greece","Musées d'art"
"Hall, Agia Marina","agia marina, greece","Sites et monuments"
"25th of August Street, Héraklion","4, 25th august avenue, iraklio 712 02, greece","Sites et monuments"
"Church of Agios Mathaios Sinaites, Héraklion","heraklion, greece","Églises et cathédrales"
"Omen Art Gallery-Art Shop, La Canée","daskalogianni 4, chania 731 32, greece","Galeries d'art"
"Apostolakis Handmade Ceramics, Maleme","peo kissamou chanion, chania 731 00, greece","Galeries d'art"
"Agia Aikaterini Church, La Canée","chania, greece","Églises et cathédrales"
"Minoiki Avli - Ippikos Omilos Irakliou, Héraklion","φιλίππων 2, καρτερός, ηράκλειο 715 00, greece","Sites et monuments"
"Venetian Shipyards, Héraklion","heraklion, greece","Sites historiques"
"Georgiadis Park, Héraklion","georgiadis park, dimokratias, iraklio 713 06, greece","Parcs"
"Kassakis Bros, Héraklion","heraklion, greece","Fermes"
"Mythos Art Gallery and Ceramics, Platanias","platanias 730 14, greece","Galeries d'art"
"Alikianos War Memorial, Chania Prefecture","alikianos 730 05, greece","Sites et monuments"
"Agia Kiriaki Church, Varipetro","varipetro 731 00, greece","Églises et cathédrales"
